Game Title;User Rating;Age Group Targeted;Price;Platform;Requires Special Device;Developer;Publisher;Release Year;Genre;Multiplayer;Game Length (Hours);Graphics Quality;Soundtrack Quality;Story Quality;User Review Text;Game Mode;Min Number of Players
Grand Theft Auto V;44.1;Kids;57.59;PlayStation;No;Game Freak;Activision;2011;RPG;No;57.3;Low;Poor;Average;Solid game, but the gameplay is amazing.;Online;3
Fortnite;31.1;Adults;40.03;PlayStation;Yes;Bungie;Capcom;2019;Fighting;Yes;31.7;High;Average;Poor;Great game, but the gameplay is amazing.;Online;2
The Legend of Zelda: Breath of the Wild;17.1;Kids;26.03;PlayStation;No;Rockstar Games;Valve;2017;Adventure;Yes;15.5;Medium;Average;Excellent;Disappointing game, but the graphics could be better.;Online;7
Pokémon Scarlet & Violet;22.2;Teens;26.35;PlayStation;Yes;Innersloth;Square Enix;2010;RPG;No;34.5;High;Average;Good;Amazing game, but the graphics could be better.;Online;4
Kingdom Hearts III;26.7;All Ages;30.02;PlayStation;No;Innersloth;Nintendo;2010;Party;Yes;43.7;Medium;Poor;Good;Disappointing game, but the graphics could be better.;Online;2
The Elder Scrolls V: Skyrim;37.7;All Ages;58.56;PlayStation;Yes;CD Projekt Red;Electronic Arts;2018;Adventure;Yes;31.8;High;Excellent;Poor;Solid game, but too many bugs.;Offline;3
Spelunky 2;23.3;Kids;25.5;PlayStation;Yes;Capcom;Square Enix;2019;Fighting;Yes;38.7;Low;Average;Poor;Amazing game, but the graphics could be better.;Online;8
Red Dead Redemption 2;26.6;Kids;35.69;PlayStation;No;Rockstar Games;Capcom;2012;Party;No;30.4;Ultra;Excellent;Good;Great game, but the gameplay is amazing.;Offline;6
1000-Piece Puzzle;46.0;Teens;58.75;PlayStation;No;CD Projekt Red;Innersloth;2019;Strategy;No;50.1;High;Excellent;Excellent;Amazing game, but the gameplay is amazing.;Online;2
Counter-Strike: Global Offensive;20.7;Kids;30.91;PlayStation;No;Game Freak;Capcom;2022;RPG;Yes;20.2;High;Average;Average;Great game, but too many bugs.;Online;7
Fortnite;21.6;Kids;40.71;PlayStation;No;Bungie;Valve;2016;Fighting;Yes;9.7;High;Excellent;Excellent;Solid game, but the graphics could be better.;Online;6
Minecraft;15.7;All Ages;26.36;PlayStation;Yes;Game Freak;Valve;2013;Fighting;Yes;14.1;Low;Good;Excellent;Amazing game, but the gameplay is amazing.;Offline;8
The Legend of Zelda: Breath of the Wild;30.6;All Ages;22.76;PlayStation;No;Bungie;Nintendo;2014;Strategy;No;58.5;Ultra;Good;Excellent;Amazing game, but the gameplay is amazing.;Online;2
Grand Theft Auto V;37.4;Teens;41.74;PlayStation;Yes;Valve;Take-Two Interactive;2014;Action;No;59.3;Low;Poor;Excellent;Solid game, but the gameplay is amazing.;Online;4
The Sims 4;28.7;Adults;55.7;PlayStation;Yes;Game Freak;Take-Two Interactive;2016;Strategy;No;6.8;Low;Excellent;Average;Amazing game, but too many bugs.;Online;3
League of Legends;41.7;All Ages;50.29;PlayStation;No;Valve;Valve;2019;Simulation;No;50.7;High;Average;Average;Amazing game, but the gameplay is amazing.;Online;1
Tetris;23.6;All Ages;30.93;PlayStation;Yes;EA Sports;Square Enix;2013;Puzzle;Yes;33.3;High;Average;Excellent;Disappointing game, but too many bugs.;Online;4
Bioshock Infinite;37.3;All Ages;49.87;PlayStation;No;Game Freak;Electronic Arts;2011;Party;Yes;37.2;Medium;Average;Excellent;Solid game, but the graphics could be better.;Online;3
Bioshock Infinite;29.2;Teens;45.77;PlayStation;Yes;Game Freak;Take-Two Interactive;2023;Adventure;No;24.2;High;Excellent;Excellent;Disappointing game, but too many bugs.;Online;5
Fortnite;28.6;Kids;48.91;PlayStation;No;CD Projekt Red;Activision;2013;Fighting;Yes;10.0;Ultra;Good;Excellent;Great game, but the gameplay is amazing.;Offline;5
Spelunky 2;21.2;Kids;30.33;PlayStation;No;Valve;Valve;2021;Strategy;Yes;14.4;Low;Good;Good;Disappointing game, but the gameplay is amazing.;Offline;2
Overwatch 2;18.3;Teens;26.95;PlayStation;No;EA Sports;Capcom;2023;Simulation;Yes;18.8;Medium;Poor;Good;Great game, but too many bugs.;Offline;4
Half-Life: Alyx;34.9;Adults;44.52;PlayStation;No;Rockstar Games;Valve;2019;Action;No;43.7;Ultra;Good;Poor;Solid game, but too many bugs.;Online;3
Among Us;37.6;Teens;59.02;PlayStation;Yes;EA Sports;Valve;2017;Action;Yes;23.0;High;Poor;Excellent;Solid game, but the gameplay is amazing.;Online;2
Rocket League;29.9;Adults;50.19;PlayStation;Yes;Rockstar Games;Innersloth;2019;Adventure;No;22.2;Low;Poor;Poor;Solid game, but the graphics could be better.;Offline;4
Kingdom Hearts III;26.4;Teens;21.83;PlayStation;Yes;CD Projekt Red;Take-Two Interactive;2018;Action;No;57.5;Medium;Average;Average;Great game, but the graphics could be better.;Online;1
Cuphead;28.3;All Ages;40.43;PlayStation;No;EA Sports;Epic Games;2012;Sports;No;32.7;Medium;Excellent;Poor;Solid game, but the gameplay is amazing.;Offline;7
Hitman 3;30.8;All Ages;31.07;PlayStation;Yes;Capcom;Electronic Arts;2013;Puzzle;No;56.1;Ultra;Excellent;Good;Great game, but the gameplay is amazing.;Online;8
The Witcher 3: Wild Hunt;27.2;All Ages;39.65;PlayStation;Yes;Innersloth;Epic Games;2013;Fighting;No;29.0;High;Excellent;Poor;Amazing game, but the gameplay is amazing.;Online;6
The Legend of Zelda: Breath of the Wild;32.1;Teens;56.06;PlayStation;Yes;Rockstar Games;Activision;2010;Simulation;No;16.6;Low;Average;Poor;Amazing game, but too many bugs.;Online;6
Stardew Valley;31.4;Kids;27.88;PlayStation;Yes;Bungie;Epic Games;2018;Strategy;No;52.3;High;Excellent;Poor;Solid game, but the graphics could be better.;Offline;3
Tetris;33.6;Teens;50.59;PlayStation;No;Innersloth;Square Enix;2014;Fighting;No;33.3;Medium;Average;Poor;Solid game, but the gameplay is amazing.;Online;8
Among Us;18.2;Adults;21.5;PlayStation;No;Bungie;Capcom;2020;Fighting;No;24.0;Medium;Poor;Average;Solid game, but the gameplay is amazing.;Online;6
Call of Duty: Modern Warfare 2;38.8;Kids;54.74;PlayStation;No;Rockstar Games;Capcom;2020;Shooter;Yes;38.3;Low;Poor;Excellent;Solid game, but the graphics could be better.;Online;2
Hitman 3;27.6;Kids;22.16;PlayStation;No;Rockstar Games;Valve;2014;Fighting;Yes;50.3;Low;Poor;Good;Disappointing game, but too many bugs.;Offline;2
Hades;29.1;Kids;51.42;PlayStation;No;Bungie;Epic Games;2020;RPG;No;18.0;Medium;Excellent;Good;Great game, but the gameplay is amazing.;Online;6
Counter-Strike: Global Offensive;30.2;All Ages;27.8;PlayStation;No;Epic Games;Take-Two Interactive;2011;Simulation;Yes;58.6;High;Good;Poor;Great game, but too many bugs.;Online;3
Street Fighter V;30.7;Kids;33.87;PlayStation;No;Game Freak;Nintendo;2016;Adventure;Yes;40.9;High;Average;Poor;Disappointing game, but too many bugs.;Online;8
FIFA 24;30.1;All Ages;36.01;PlayStation;Yes;CD Projekt Red;Innersloth;2011;Fighting;No;42.1;Medium;Good;Good;Solid game, but the graphics could be better.;Offline;4
Super Mario Odyssey;36.1;Adults;38.58;PlayStation;Yes;Rockstar Games;Activision;2018;Party;Yes;56.4;Ultra;Excellent;Average;Disappointing game, but too many bugs.;Offline;10
Stardew Valley;19.9;Teens;23.21;PlayStation;Yes;Bungie;Innersloth;2014;Adventure;No;28.2;Medium;Poor;Poor;Great game, but the gameplay is amazing.;Offline;2
Call of Duty: Modern Warfare 2;19.8;Adults;20.29;PlayStation;No;CD Projekt Red;Activision;2017;Shooter;No;29.0;Medium;Excellent;Poor;Amazing game, but the gameplay is amazing.;Offline;6
Super Smash Bros. Ultimate;27.5;Teens;47.51;PlayStation;Yes;Bungie;Capcom;2015;Adventure;Yes;8.6;High;Good;Excellent;Disappointing game, but the graphics could be better.;Offline;5
Ghost of Tsushima;29.4;Teens;51.4;PlayStation;Yes;Game Freak;Square Enix;2023;Puzzle;No;14.6;Ultra;Poor;Poor;Solid game, but the gameplay is amazing.;Offline;1
Overwatch 2;29.4;Adults;38.6;PlayStation;Yes;EA Sports;Activision;2019;RPG;No;38.9;Medium;Poor;Good;Disappointing game, but too many bugs.;Online;6
Kingdom Hearts III;32.3;All Ages;45.81;PlayStation;No;Rockstar Games;Capcom;2016;Simulation;No;28.7;Low;Excellent;Excellent;Solid game, but the gameplay is amazing.;Online;7
The Witcher 3: Wild Hunt;35.8;All Ages;53.2;PlayStation;Yes;Epic Games;Activision;2013;Shooter;No;29.4;Ultra;Average;Average;Amazing game, but the graphics could be better.;Online;5
Cuphead;43.7;Adults;53.04;PlayStation;No;Epic Games;Innersloth;2018;Simulation;Yes;52.2;Ultra;Average;Poor;Amazing game, but too many bugs.;Offline;2
Tetris;40.3;All Ages;53.12;PlayStation;Yes;Capcom;Square Enix;2010;Shooter;No;48.6;Medium;Excellent;Poor;Solid game, but the graphics could be better.;Offline;3
The Witcher 3: Wild Hunt;25.6;All Ages;28.94;PlayStation;Yes;CD Projekt Red;Capcom;2019;Shooter;No;39.0;Ultra;Good;Poor;Great game, but too many bugs.;Offline;8
1000-Piece Puzzle;21.2;Kids;32.15;PlayStation;Yes;Capcom;Activision;2018;Shooter;No;21.5;Medium;Average;Good;Great game, but the gameplay is amazing.;Online;1
Portal 2;18.5;Teens;29.84;PlayStation;No;Bungie;Nintendo;2012;Sports;Yes;6.9;Low;Poor;Poor;Disappointing game, but the gameplay is amazing.;Offline;8
Halo Infinite;36.3;All Ages;55.35;PlayStation;Yes;Innersloth;Take-Two Interactive;2019;Puzzle;No;27.8;High;Good;Good;Solid game, but too many bugs.;Offline;6
Tomb Raider (2013);33.0;All Ages;28.85;PlayStation;Yes;EA Sports;Valve;2013;Fighting;Yes;59.3;High;Poor;Good;Amazing game, but too many bugs.;Online;1
Minecraft;32.8;Kids;52.78;PlayStation;Yes;Epic Games;Square Enix;2014;Simulation;No;22.7;Low;Poor;Excellent;Great game, but too many bugs.;Offline;4
Pillars of Eternity II: Deadfire;38.2;Kids;46.21;PlayStation;Yes;Valve;Innersloth;2017;Action;No;45.3;Medium;Excellent;Good;Disappointing game, but the gameplay is amazing.;Online;4
Animal Crossing: New Horizons;28.7;Teens;42.74;PlayStation;No;Valve;Square Enix;2010;RPG;Yes;24.5;Low;Good;Average;Disappointing game, but too many bugs.;Offline;5
The Legend of Zelda: Breath of the Wild;14.3;All Ages;25.63;PlayStation;Yes;Nintendo;Valve;2012;Party;No;10.4;Ultra;Average;Poor;Amazing game, but the gameplay is amazing.;Online;1
Super Smash Bros. Ultimate;38.0;All Ages;55.38;PlayStation;Yes;Innersloth;Epic Games;2011;Sports;No;30.1;Medium;Good;Average;Disappointing game, but too many bugs.;Offline;10
Among Us;19.6;Adults;31.19;PlayStation;No;Rockstar Games;Epic Games;2011;Adventure;No;13.3;High;Good;Average;Great game, but the gameplay is amazing.;Offline;6
Red Dead Redemption 2;20.4;Adults;29.08;PlayStation;No;Valve;Electronic Arts;2017;Puzzle;Yes;13.5;Ultra;Average;Good;Disappointing game, but the gameplay is amazing.;Online;7
Hades;38.5;Kids;54.7;PlayStation;Yes;CD Projekt Red;Valve;2013;RPG;Yes;35.3;Medium;Excellent;Good;Great game, but too many bugs.;Online;7
Tomb Raider (2013);44.9;All Ages;55.13;PlayStation;No;Game Freak;Valve;2022;Strategy;No;51.2;High;Average;Excellent;Great game, but too many bugs.;Online;3
Grand Theft Auto V;23.1;All Ages;25.9;PlayStation;Yes;Capcom;Valve;2011;Strategy;No;27.9;Low;Good;Average;Disappointing game, but the graphics could be better.;Online;10
The Sims 4;16.2;Teens;23.9;PlayStation;No;Epic Games;Epic Games;2012;Adventure;Yes;10.8;Low;Excellent;Excellent;Disappointing game, but too many bugs.;Offline;1
The Elder Scrolls V: Skyrim;33.9;Kids;59.58;PlayStation;No;Bungie;Innersloth;2017;Action;No;9.3;Medium;Excellent;Poor;Great game, but the graphics could be better.;Online;6
The Legend of Zelda: Breath of the Wild;15.2;Kids;23.83;PlayStation;No;Game Freak;Capcom;2017;Shooter;No;9.4;Medium;Poor;Poor;Great game, but the graphics could be better.;Offline;3
League of Legends;38.6;All Ages;56.34;PlayStation;No;Game Freak;Epic Games;2011;RPG;No;29.4;High;Poor;Good;Solid game, but too many bugs.;Online;3
Overwatch 2;22.7;Adults;43.51;PlayStation;Yes;EA Sports;Nintendo;2017;Adventure;Yes;8.9;Ultra;Excellent;Excellent;Solid game, but the gameplay is amazing.;Offline;2
Sid Meier’s Civilization VI;33.5;Kids;43.48;PlayStation;No;Innersloth;Activision;2016;Puzzle;No;44.0;Medium;Poor;Good;Solid game, but the gameplay is amazing.;Online;5
Stardew Valley;31.0;All Ages;31.03;PlayStation;No;Epic Games;Epic Games;2016;Action;Yes;50.3;Ultra;Good;Good;Disappointing game, but the gameplay is amazing.;Online;8
The Sims 4;29.3;Teens;26.91;PlayStation;No;Innersloth;Nintendo;2013;Strategy;Yes;50.3;Low;Poor;Excellent;Solid game, but too many bugs.;Online;3
Stardew Valley;13.5;Teens;20.9;PlayStation;Yes;EA Sports;Valve;2021;Adventure;No;11.9;Medium;Average;Good;Disappointing game, but the graphics could be better.;Online;3
Kingdom Hearts III;32.9;Teens;31.32;PlayStation;No;Capcom;Valve;2014;Adventure;No;52.6;Low;Good;Excellent;Solid game, but the graphics could be better.;Online;5
Super Smash Bros. Ultimate;27.8;Kids;37.81;PlayStation;Yes;CD Projekt Red;Take-Two Interactive;2021;Party;No;35.7;High;Poor;Good;Disappointing game, but the graphics could be better.;Offline;7
Spelunky 2;31.9;Kids;25.1;PlayStation;No;Innersloth;Activision;2022;Action;No;59.6;Low;Good;Good;Great game, but the gameplay is amazing.;Online;8
Pokémon Scarlet & Violet;39.8;Teens;45.23;PlayStation;No;Game Freak;Epic Games;2015;Adventure;No;56.9;Low;Average;Excellent;Amazing game, but the gameplay is amazing.;Offline;8
Bioshock Infinite;28.1;Adults;27.74;PlayStation;No;Nintendo;Valve;2011;Action;Yes;51.6;Medium;Average;Good;Disappointing game, but the gameplay is amazing.;Online;4
FIFA 24;29.0;All Ages;52.19;PlayStation;No;Game Freak;Epic Games;2015;Strategy;No;8.8;High;Excellent;Average;Solid game, but the gameplay is amazing.;Online;10
Hitman 3;17.8;All Ages;20.01;PlayStation;No;Valve;Epic Games;2023;Party;Yes;27.9;Medium;Poor;Average;Disappointing game, but too many bugs.;Online;3
Fall Guys;38.8;Adults;50.98;PlayStation;Yes;Bungie;Innersloth;2019;Party;Yes;44.3;Low;Poor;Good;Great game, but the graphics could be better.;Offline;10
Overwatch 2;26.5;Adults;44.87;PlayStation;Yes;Innersloth;Valve;2020;Action;No;16.7;Ultra;Good;Good;Disappointing game, but the graphics could be better.;Online;2
FIFA 24;20.2;Teens;26.72;PlayStation;Yes;Valve;Activision;2021;Puzzle;Yes;24.4;Ultra;Good;Poor;Great game, but the graphics could be better.;Offline;2
Tomb Raider (2013);13.0;Adults;26.4;PlayStation;No;Epic Games;Capcom;2012;RPG;No;5.5;Low;Poor;Average;Amazing game, but the gameplay is amazing.;Online;2
Kingdom Hearts III;16.9;Teens;32.36;PlayStation;Yes;Bungie;Square Enix;2015;Adventure;No;7.1;Ultra;Average;Average;Disappointing game, but the graphics could be better.;Offline;6
The Elder Scrolls V: Skyrim;33.6;Kids;49.41;PlayStation;Yes;Nintendo;Take-Two Interactive;2021;Simulation;No;25.0;Medium;Good;Average;Solid game, but too many bugs.;Offline;8
Minecraft;35.7;All Ages;44.89;PlayStation;Yes;Rockstar Games;Nintendo;2020;Fighting;No;44.6;Medium;Poor;Poor;Disappointing game, but too many bugs.;Offline;3
Halo Infinite;25.7;All Ages;46.94;PlayStation;No;Game Freak;Valve;2012;Fighting;No;11.0;Low;Good;Poor;Amazing game, but too many bugs.;Offline;6
Super Smash Bros. Ultimate;47.6;Kids;59.65;PlayStation;No;Bungie;Square Enix;2011;Strategy;No;57.9;Low;Good;Average;Solid game, but the graphics could be better.;Online;4
Mario Kart 8 Deluxe;25.6;All Ages;20.8;PlayStation;Yes;Capcom;Take-Two Interactive;2022;Adventure;No;45.6;Low;Good;Good;Disappointing game, but too many bugs.;Online;4
Ghost of Tsushima;33.4;Adults;49.12;PlayStation;No;Epic Games;Electronic Arts;2022;Adventure;Yes;29.7;Ultra;Average;Good;Amazing game, but too many bugs.;Online;5
1000-Piece Puzzle;20.4;Teens;21.76;PlayStation;Yes;Innersloth;Capcom;2018;Strategy;No;37.8;Low;Poor;Excellent;Disappointing game, but too many bugs.;Online;3
Super Smash Bros. Ultimate;22.9;Teens;31.13;PlayStation;No;Game Freak;Epic Games;2013;Party;Yes;18.0;Medium;Poor;Poor;Amazing game, but too many bugs.;Offline;1
The Elder Scrolls V: Skyrim;43.3;Kids;55.41;PlayStation;No;Game Freak;Epic Games;2016;RPG;No;56.6;Low;Average;Excellent;Disappointing game, but the graphics could be better.;Offline;5
Pokémon Scarlet & Violet;42.4;Teens;53.09;PlayStation;Yes;Game Freak;Nintendo;2015;RPG;No;48.0;Ultra;Average;Good;Great game, but the graphics could be better.;Offline;4
Rocket League;36.0;Adults;41.62;PlayStation;Yes;Nintendo;Activision;2016;Strategy;No;45.8;Ultra;Good;Excellent;Amazing game, but too many bugs.;Online;5
Hades;33.4;Adults;53.82;PlayStation;Yes;CD Projekt Red;Take-Two Interactive;2023;Sports;Yes;15.7;Medium;Good;Excellent;Disappointing game, but the graphics could be better.;Offline;5
Mario Kart 8 Deluxe;22.4;Adults;36.54;PlayStation;No;Rockstar Games;Electronic Arts;2011;Sports;No;20.4;High;Excellent;Poor;Great game, but the graphics could be better.;Offline;5
The Legend of Zelda: Breath of the Wild;39.6;Teens;59.4;PlayStation;Yes;Innersloth;Nintendo;2022;RPG;Yes;33.8;Ultra;Poor;Good;Amazing game, but the graphics could be better.;Offline;3
Half-Life: Alyx;31.2;All Ages;44.07;PlayStation;No;Epic Games;Nintendo;2022;Action;Yes;28.6;Medium;Average;Average;Disappointing game, but the gameplay is amazing.;Offline;5
1000-Piece Puzzle;27.2;Teens;41.49;PlayStation;Yes;CD Projekt Red;Take-Two Interactive;2022;Simulation;No;27.7;Medium;Good;Poor;Amazing game, but too many bugs.;Online;3
Hitman 3;25.6;Adults;22.24;PlayStation;Yes;Innersloth;Activision;2019;Strategy;No;43.7;Ultra;Poor;Excellent;Amazing game, but the graphics could be better.;Offline;5
Grand Theft Auto V;20.8;Adults;30.14;PlayStation;Yes;Valve;Nintendo;2019;Sports;Yes;16.3;Medium;Average;Good;Solid game, but too many bugs.;Offline;8
The Elder Scrolls V: Skyrim;39.9;Adults;52.17;PlayStation;Yes;CD Projekt Red;Nintendo;2015;Puzzle;Yes;47.6;High;Good;Excellent;Solid game, but too many bugs.;Online;8
Bioshock Infinite;27.3;Adults;36.47;PlayStation;No;Innersloth;Valve;2014;Simulation;No;33.8;Low;Excellent;Good;Great game, but the gameplay is amazing.;Offline;5
Pokémon Scarlet & Violet;27.1;Kids;26.31;PlayStation;No;Innersloth;Take-Two Interactive;2013;Fighting;Yes;41.4;Ultra;Poor;Good;Great game, but too many bugs.;Offline;6
Kingdom Hearts III;33.0;Kids;41.28;PlayStation;Yes;EA Sports;Innersloth;2019;Strategy;Yes;41.0;Medium;Excellent;Poor;Great game, but the graphics could be better.;Offline;8
Tomb Raider (2013);37.7;Kids;43.12;PlayStation;No;Bungie;Activision;2010;RPG;Yes;57.3;Ultra;Average;Average;Amazing game, but too many bugs.;Online;3
The Elder Scrolls V: Skyrim;35.5;Teens;49.59;PlayStation;No;Bungie;Nintendo;2019;Shooter;No;29.3;Low;Average;Poor;Solid game, but the graphics could be better.;Offline;8
Spelunky 2;24.8;Kids;24.31;PlayStation;Yes;Innersloth;Nintendo;2016;RPG;No;42.9;High;Poor;Average;Disappointing game, but the graphics could be better.;Online;3
Animal Crossing: New Horizons;27.5;Teens;36.9;PlayStation;No;Nintendo;Innersloth;2015;RPG;Yes;28.3;Medium;Excellent;Excellent;Disappointing game, but too many bugs.;Online;2
Super Mario Odyssey;18.4;Teens;25.06;PlayStation;No;Rockstar Games;Activision;2023;Simulation;No;22.9;Ultra;Excellent;Good;Amazing game, but too many bugs.;Online;1
Sid Meier’s Civilization VI;36.9;Adults;55.36;PlayStation;Yes;Bungie;Take-Two Interactive;2011;Shooter;Yes;28.5;Low;Poor;Average;Disappointing game, but the graphics could be better.;Online;3
Minecraft;41.9;Kids;51.29;PlayStation;Yes;EA Sports;Electronic Arts;2014;Fighting;Yes;58.8;Ultra;Excellent;Poor;Amazing game, but the graphics could be better.;Offline;6
Spelunky 2;31.6;Kids;39.27;PlayStation;No;CD Projekt Red;Activision;2011;Strategy;Yes;42.5;Medium;Poor;Excellent;Amazing game, but the gameplay is amazing.;Offline;10
Halo Infinite;29.5;All Ages;48.15;PlayStation;Yes;Game Freak;Valve;2013;Strategy;No;16.7;Ultra;Poor;Average;Amazing game, but the graphics could be better.;Online;1
Half-Life: Alyx;39.7;Adults;54.07;PlayStation;No;Nintendo;Take-Two Interactive;2021;RPG;Yes;36.4;Low;Excellent;Excellent;Great game, but too many bugs.;Online;10
1000-Piece Puzzle;20.2;All Ages;38.76;PlayStation;No;Innersloth;Epic Games;2021;RPG;Yes;8.1;Medium;Average;Poor;Amazing game, but too many bugs.;Online;8
1000-Piece Puzzle;28.2;Teens;43.2;PlayStation;No;Bungie;Electronic Arts;2017;Adventure;No;17.3;High;Average;Average;Great game, but the graphics could be better.;Online;10
Minecraft;33.8;Adults;33.95;PlayStation;Yes;Bungie;Innersloth;2020;Action;No;59.6;Medium;Poor;Excellent;Disappointing game, but too many bugs.;Online;7
Rocket League;21.9;Teens;32.46;PlayStation;No;Epic Games;Epic Games;2018;Sports;No;22.1;High;Average;Poor;Solid game, but the gameplay is amazing.;Offline;4
Super Mario Odyssey;32.6;Kids;32.68;PlayStation;Yes;Bungie;Nintendo;2022;Shooter;Yes;56.1;Medium;Good;Poor;Great game, but the graphics could be better.;Offline;2
Spelunky 2;28.3;Kids;44.26;PlayStation;Yes;Bungie;Nintendo;2011;Party;Yes;26.5;Medium;Excellent;Good;Great game, but the graphics could be better.;Online;1
Overwatch 2;40.1;All Ages;57.82;PlayStation;No;Bungie;Innersloth;2020;Shooter;No;30.7;Ultra;Good;Excellent;Amazing game, but the graphics could be better.;Offline;10
Portal 2;25.4;Teens;24.46;PlayStation;Yes;EA Sports;Capcom;2018;Simulation;Yes;49.3;High;Excellent;Poor;Amazing game, but the gameplay is amazing.;Offline;8
Halo Infinite;15.0;Teens;21.86;PlayStation;No;Nintendo;Electronic Arts;2019;Strategy;Yes;19.5;High;Good;Good;Disappointing game, but the graphics could be better.;Offline;2
Kingdom Hearts III;39.7;Teens;43.23;PlayStation;Yes;Bungie;Activision;2016;Puzzle;Yes;55.6;Low;Good;Excellent;Disappointing game, but the gameplay is amazing.;Online;5
Spelunky 2;28.1;Teens;47.76;PlayStation;Yes;CD Projekt Red;Nintendo;2012;Strategy;Yes;17.7;High;Excellent;Excellent;Great game, but too many bugs.;Offline;2
Overwatch 2;27.5;Teens;45.45;PlayStation;No;Nintendo;Nintendo;2016;Simulation;No;20.7;Low;Average;Poor;Disappointing game, but too many bugs.;Offline;5
Sid Meier’s Civilization VI;32.7;All Ages;36.1;PlayStation;No;Innersloth;Valve;2012;Simulation;No;49.7;Low;Excellent;Good;Solid game, but the graphics could be better.;Offline;7
Counter-Strike: Global Offensive;29.3;Kids;32.13;PlayStation;No;Rockstar Games;Electronic Arts;2016;Simulation;No;39.6;Low;Good;Good;Solid game, but the gameplay is amazing.;Online;7
Tetris;21.6;All Ages;20.14;PlayStation;No;Capcom;Electronic Arts;2011;Action;No;31.9;Ultra;Good;Average;Solid game, but the graphics could be better.;Online;10
Counter-Strike: Global Offensive;38.9;Kids;54.83;PlayStation;Yes;EA Sports;Capcom;2011;RPG;No;43.1;Medium;Poor;Excellent;Great game, but the graphics could be better.;Offline;3
Fortnite;24.1;Kids;37.05;PlayStation;Yes;Innersloth;Square Enix;2018;Fighting;No;21.3;Ultra;Good;Excellent;Disappointing game, but the graphics could be better.;Offline;7
